City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
560,Sibolga,ID,1.7427,98.7792,85.03,60,48,5.28,scattered clouds
561,Havelock,US,34.8791,-76.9013,82.94,91,86,4.0,overcast clouds
562,Uvat,RU,59.1433,68.8953,77.86,46,74,7.02,broken clouds
563,Kipushi,CD,-11.7667,27.2333,60.44,54,6,9.24,clear sky
564,Cap-Haitien,HT,19.7578,-72.2042,79.14,78,89,9.44,overcast clouds
565,Arman,RU,59.7,150.1667,62.02,79,96,6.53,overcast clouds
566,Sampit,ID,-2.5333,112.95,89.56,49,86,4.9,overcast clouds
567,Nova Paka,CZ,50.4945,15.515,60.13,87,100,5.19,moderate rain
568,Chopinzinho,BR,-25.8558,-52.5233,47.32,82,26,3.27,scattered clouds
569,Makakilo City,US,21.3469,-158.0858,78.57,75,40,3.44,scattered clouds
570,Kamakwie,SL,9.5,-12.2333,70.93,99,97,2.59,overcast clouds
571,Matara,LK,5.9485,80.5353,82.74,71,100,13.71,overcast clouds
572,Krasnovka,RU,48.8177,40.0923,82.83,29,67,10.07,broken clouds
573,Srednekolymsk,RU,67.45,153.6833,60.28,65,100,4.52,overcast clouds
574,Smithers,CA,54.7804,-127.1743,56.35,75,87,3.94,overcast clouds
575,Rio Gallegos,AR,-51.6226,-69.2181,36.07,98,100,4.36,overcast clouds
576,Sajanan,TN,37.0573,9.2426,79.88,78,2,12.77,clear sky
577,Praia,CV,14.9215,-23.5087,77.09,85,91,7.67,overcast clouds
578,Horodyshche,UA,49.2849,31.4451,74.62,60,0,9.51,clear sky
579,Oroville,US,39.5138,-121.5564,82.6,56,98,5.26,overcast clouds
580,Gariaband,IN,20.635,82.0614,88.36,62,86,3.8,overcast clouds
581,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,93,0,2.3,clear sky
582,Bonavista,CA,48.6499,-53.1147,64.02,97,77,11.25,broken clouds
583,Cukai,MY,4.25,103.4167,78.91,80,100,2.57,overcast clouds
584,Carahue,CL,-38.7,-73.1667,46.94,99,100,2.21,moderate rain
585,Agadir,MA,30.4202,-9.5982,70.25,51,60,2.64,broken clouds
586,Carballo,ES,43.213,-8.691,67.01,88,93,8.77,overcast clouds
587,Miraflores,MX,19.2167,-98.8083,62.87,84,29,2.37,scattered clouds
588,Zarand,IR,30.8127,56.564,82.11,17,0,5.26,clear sky
589,Rognan,NO,67.0953,15.3878,56.05,64,57,8.19,broken clouds
590,Vagur,FO,61.4732,-6.8119,51.1,93,99,15.12,overcast clouds
591,Crnomelj,SI,45.5711,15.1889,71.62,68,0,3.51,clear sky
592,Coihaique,CL,-45.5752,-72.0662,28.63,90,33,3.33,scattered clouds
593,Cosala,MX,24.4125,-106.6908,72.12,88,100,3.22,overcast clouds
594,Les Cayes,HT,18.2,-73.75,78.44,81,60,0.45,broken clouds
595,Weinan,CN,34.5036,109.5089,101.53,39,4,6.26,clear sky
596,Sabha,LY,27.0377,14.4283,87.89,23,1,14.76,clear sky
597,Mao,ES,39.8885,4.2658,77.56,88,0,3.44,clear sky
598,Chontalpa,MX,17.7,-93.5167,74.21,87,59,2.24,broken clouds
599,Kalmunai,LK,7.4167,81.8167,90.05,46,98,7.45,overcast clouds
600,Fairbanks,US,64.8378,-147.7164,55.09,84,99,1.01,overcast clouds
601,Naliya,IN,23.2667,68.8333,79.03,89,100,7.81,overcast clouds
